רשות מקומית,סוג רשות,מחוז,דירוג,אוכלוסייה[1],דירוג.1,שטח שיפוט,דירוג.2,צפיפות[2],דירוג.3,מדד ג'יני[2],מדד חברתי-,דירוג.4,מספר יישובים
מועצה אזורית בוסתן אל-מרג',מועצה אזורית,הצפון,188,"7,700",141,"8,920",172,863,226,0.3588,2,51,4
מועצה אזורית בני שמעון,מועצה אזורית,הדרום,162,"10,000",9,"394,120",243,25,101,0.4166,7,35,13
מועצה אזורית ברנר,מועצה אזורית,המרכז,183,"7,900",57,"36,910",205,214,48,0.4469,8,48,6
מועצה אזורית גדרות,מועצה אזורית,המרכז,219,"5,200",104,"13,710",189,379,41,0.4532,9,43,7
מועצה אזורית גולן,מועצה אזורית,הצפון,119,"17,000",5,"1,090,220",245,15.6,137,0.3972,6,8,31
מועצה אזורית גוש עציון,מועצה אזורית,יהודה ושומרון,83,"23,500",,,,,64,0.43700000000000006,5,29,14
מועצה אזורית גזר,מועצה אזורית,המרכז,72,"26,500",33,"114,230",203,232,53,0.4412,8,14,25
מועצה אזורית גן רווה,מועצה אזורית,המרכז,212,"6,100",53,"40,480",219,151,40,0.4538,8,41,9
מועצה אזורית דרום השרון,מועצה אזורית,המרכז,62,"32,700",37,"96,760",192,338,44,0.4502,8,8,31
מועצה אזורית הגלבוע,מועצה אזורית,הצפון,65,"29,900",13,"252,100",224,119,128,0.4004,5,5,32
מועצה אזורית הגליל העליון,מועצה אזורית,הצפון,112,"17,800",12,"296,560",236,60,120,0.4056,6,10,29
מועצה אזורית הגליל התחתון,מועצה אזורית,הצפון,147,"12,100",17,"192,990",235,63,86,0.4226,7,26,18
מועצה אזורית הערבה התיכונה,מועצה אזורית,הדרום,240,"3,300",3,"1,512,490",246,2.2,141,0.3953,7,43,7
מועצה אזורית הר חברון,מועצה אזורית,יהודה ושומרון,179,"8,300",,,,,141,0.3953,5,29,14
מועצה אזורית זבולון,מועצה אזורית,חיפה,138,"13,400",42,"62,820",206,213,12,0.4788,6,29,14
מועצה אזורית חבל אילות,מועצה אזורית,הדרום,227,"4,100",2,"2,649,390",248,1.55,202,0.374,5,39,12
מועצה אזורית חבל יבנה,מועצה אזורית,המרכז,201,"7,000",59,"34,840",207,201,23,0.4658,5,43,7
מועצה אזורית חבל מודיעין,מועצה אזורית,המרכז,85,"23,400",27,"128,710",211,182,27,0.4628,7,15,24
מועצה אזורית חוף אשקלון,מועצה אזורית,הדרום,118,"17,100",22,"175,310",228,98,99,0.4174,7,22,21
מועצה אזורית חוף הכרמל,מועצה אזורית,חיפה,63,"30,800",19,"183,360",217,168,11,0.4803,8,13,26
מועצה אזורית חוף השרון,מועצה אזורית,המרכז,124,"15,100",49,"47,600",197,317,8,0.4955,8,29,14
מועצה אזורית יואב,מועצה אזורית,הדרום,177,"8,600",16,"198,970",240,43,74,0.4303,8,29,14
מועצה אזורית לב השרון,מועצה אזורית,המרכז,82,"23,600",44,"56,720",187,416,21,0.4708,8,24,19
מועצה אזורית לכיש,מועצה אזורית,הדרום,154,"11,400",10,"378,600",241,30,131,0.3997,6,24,19
מועצה אזורית מבואות החרמון,מועצה אזורית,הצפון,198,"7,200",26,"134,740",237,53,106,0.4119,7,35,13
מועצה אזורית מגידו,מועצה אזורית,הצפון,152,"11,600",23,"173,420",234,67,42,0.4524,7,35,13
מועצה אזורית מגילות ים המלח,מועצה אזורית,יהודה ושומרון,252,"1,600",,,,,205,0.3733,7,48,6
מועצה אזורית מטה אשר,מועצה אזורית,הצפון,68,"28,700",15,"212,150",222,135,87,0.4224,7,5,32
מועצה אזורית מטה בנימין,מועצה אזורית,יהודה ושומרון,26,"65,400",,,,,51,0.4434,5,12,27
מועצה אזורית מטה יהודה,מועצה אזורית,ירושלים,30,"56,600",8,"480,420",225,118,69,0.4343,7,1,64
מועצה אזורית מנשה,מועצה אזורית,חיפה,104,"19,800",34,"112,390",213,176,70,0.4337,7,15,24
מועצה אזורית מעלה יוסף,מועצה אזורית,הצפון,158,"10,500",38,"92,950",227,113,130,0.4002,7,20,22
מועצה אזורית מרום הגליל,מועצה אזורית,הצפון,123,"15,400",21,"178,000",230,87,122,0.4044,5,15,24
מועצה אזורית מרחבים,מועצה אזורית,הדרום,132,"13,700",7,"500,970",242,27,119,0.4066,6,27,16
מועצה אזורית משגב,מועצה אזורית,הצפון,69,"28,000",25,"164,560",215,170,22,0.4693,7,4,35
מועצה אזורית נווה מדבר,מועצה אזורית,הדרום,171,"9,100",61,"32,700",200,278,252,0.3168,1,51,4
מועצה אזורית נחל שורק,מועצה אזורית,המרכז,170,"9,200",69,"28,340",195,325,43,0.452,4,43,7
מועצה אזורית עמק הירדן,מועצה אזורית,הצפון,137,"13,500",18,"183,870",232,73,128,0.4004,6,20,22
